Title,Year,Duration,Rating Restriction,Rating,Genre
1. Thunderbolts*,2025,N/A,N/A,7.8,Action
2. Transformers One,2024,1h 44m,PG,4.7,Action
3. Uglies,2024,1h 40m,PG-13,6.9,Action
4. Rebel Ridge,2024,2h 11m,TV-MA,7.9,Action
5. Deadpool & Wolverine,2024,2h 8m,R,7.8,Action
6. The Batman,2022,2h 56m,PG-13,7.0,Action
7. Civil War,2024,1h 49m,R,4.7,Action
8. Gladiator II,2024,2h 30m,R,7.5,Action
9. Red One,2024,2h 3m,PG-13,6.9,Action
10. Ballerina,2025,N/A,N/A,6.8,Action
11. The Crow,2024,1h 51m,R,6.6,Action
12. Furiosa: A Mad Max Saga,2024,2h 28m,R,4.8,Action
13. The Fall Guy,2024,2h 6m,PG-13,6.6,Action
14. The Ministry of Ungentlemanly Warfare,2024,2h 2m,R,8.9,Action
15. Twisters,2024,2h 2m,PG-13,8.5,Action
16. Hellboy: The Crooked Man,2024,1h 39m,R,7.9,Action
17. Bad Boys: Ride or Die,2024,1h 55m,R,9.0,Action
18. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.5,Action
19. Dune: Part Two,2024,2h 46m,PG-13,6.6,Action
20. Yudhra,2024,2h 22m,N/A,N/A,Action
21. The Dark Knight,2008,2h 32m,PG-13,N/A,Action
22. Sonic the Hedgehog 3,2024,N/A,N/A,N/A,Action
23. Jurassic World Rebirth,2025,N/A,N/A,N/A,Action
24. Gladiator,2000,2h 35m,R,N/A,Action
25. Devara Part 1,2024,2h 56m,N/A,N/A,Action
Recently viewed,N/A,N/A,N/A,N/A,Action
1. Thunderbolts*,2025,N/A,N/A,7.8,Adventure
2. Transformers One,2024,1h 44m,PG,7.7,Adventure
3. Inside Out 2,2024,1h 36m,PG,4.7,Adventure
4. Uglies,2024,1h 40m,PG-13,7.9,Adventure
5. Deadpool & Wolverine,2024,2h 8m,R,8.5,Adventure
6. The Wild Robot,2024,1h 42m,PG,7.0,Adventure
7. Civil War,2024,1h 49m,R,7.6,Adventure
8. Gladiator II,2024,2h 30m,R,7.5,Adventure
9. Red One,2024,2h 3m,PG-13,6.6,Adventure
10. Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,5.7,Adventure
11. Furiosa: A Mad Max Saga,2024,2h 28m,R,8.7,Adventure
12. Twisters,2024,2h 2m,PG-13,6.6,Adventure
13. The Garfield Movie,2024,1h 41m,PG,8.9,Adventure
14. Interstellar,2014,2h 49m,PG-13,8.5,Adventure
15. Bad Boys: Ride or Die,2024,1h 55m,R,8.5,Adventure
16. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,4.5,Adventure
17. Dune: Part Two,2024,2h 46m,PG-13,8.1,Adventure
18. Sonic the Hedgehog 3,2024,N/A,N/A,6.8,Adventure
19. Jurassic World Rebirth,2025,N/A,N/A,6.9,Adventure
20. Gladiator,2000,2h 35m,R,N/A,Adventure
21. Venom: The Last Dance,2024,1h 50m,N/A,N/A,Adventure
22. Borderlands,2024,1h 41m,PG-13,N/A,Adventure
23. Inside Out,2015,1h 35m,PG,N/A,Adventure
24. Hook,1991,2h 22m,PG,N/A,Adventure
25. Kingdom of the Planet of the Apes,2024,2h 25m,PG-13,N/A,Adventure
Recently viewed,N/A,N/A,N/A,N/A,Adventure
1. Transformers One,2024,1h 44m,PG,7.8,Animation
2. Inside Out 2,2024,1h 36m,PG,7.7,Animation
3. The Wild Robot,2024,1h 42m,PG,8.5,Animation
4. The Garfield Movie,2024,1h 41m,PG,5.7,Animation
5. Inside Out,2015,1h 35m,PG,8.1,Animation
6. Despicable Me 4,2024,1h 34m,PG,6.2,Animation
7. IF,2024,1h 44m,PG,6.5,Animation
8. The Boy and the Heron,2023,2h 4m,PG-13,7.5,Animation
9. The Lord of the Rings: The War of the Rohirrim,2024,2h 30m,N/A,8.5,Animation
10. Grave of the Fireflies,1988,1h 28m,Not Rated,7.9,Animation
11. The Nightmare Before Christmas,1993,1h 16m,PG,7.8,Animation
12. Coraline,2009,1h 40m,PG,8.2,Animation
13. Flow,2024,1h 24m,PG,8.6,Animation
14. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5,Animation
15. Moana 2,2024,N/A,N/A,8.6,Animation
16. The Lion King,1994,1h 28m,G,7.2,Animation
17. Spirited Away,2001,2h 4m,PG,8.2,Animation
18. Cars,2006,1h 56m,G,7.0,Animation
19. Howl's Moving Castle,2004,1h 59m,PG,8.4,Animation
20. The Super Mario Bros. Movie,2023,1h 32m,PG,5.7,Animation
21. Mufasa: The Lion King,2024,PG,N/A,8.1,Animation
22. Dog Man,2025,N/A,N/A,N/A,Animation
23. Coco,2017,1h 45m,PG,N/A,Animation
24. Harold and the Purple Crayon,2024,1h 30m,PG,N/A,Animation
25. Ratatouille,2007,1h 51m,G,N/A,Animation
Recently viewed,N/A,N/A,N/A,N/A,Animation
1. Lee,2023,1h 57m,R,7.0,Biography
2. Saturday Night,2024,1h 49m,R,7.1,Biography
3. Oppenheimer,2023,3h,R,8.3,Biography
4. The Apprentice,2024,2h,R,6.5,Biography
5. Reagan,2024,2h 21m,PG-13,6.2,Biography
6. Maria,2024,2h 4m,R,8.2,Biography
7. The Wolf of Wall Street,2013,3h,R,8.7,Biography
8. Goodfellas,1990,2h 25m,R,6.3,Biography
9. Back to Black,2024,2h 2m,R,7.8,Biography
10. American Gangster,2007,2h 37m,R,9.0,Biography
11. Schindler's List,1993,3h 15m,R,7.8,Biography
12. Tombstone,1993,2h 10m,R,7.6,Biography
13. The Iron Claw,2023,2h 12m,R,8.7,Biography
14. Super/Man: The Christopher Reeve Story,2024,1h 44m,PG-13,6.8,Biography
15. Skin,2018,1h 58m,R,8.8,Biography
16. 12th Fail,2023,2h 27m,N/A,6.4,Biography
17. Napoleon,2023,2h 38m,R,5.8,Biography
18. Queer,2024,2h 15m,N/A,8.1,Biography
19. Hacksaw Ridge,2016,2h 19m,R,8.2,Biography
20. Michael,2025,N/A,N/A,7.6,Biography
21. Green Book,2018,2h 10m,PG-13,8.3,Biography
22. Sound of Freedom,2023,2h 11m,PG-13,7.5,Biography
23. Braveheart,1995,2h 58m,R,7.5,Biography
24. The Greatest Showman,2017,1h 45m,PG,N/A,Biography
25. One Life,2023,1h 49m,PG,N/A,Biography
Recently viewed,N/A,N/A,N/A,N/A,Biography
1. Beetlejuice Beetlejuice,2024,1h 45m,PG-13,7.0,Comedy
2. Inside Out 2,2024,1h 36m,PG,7.7,Comedy
3. Beetlejuice,1988,1h 32m,PG,7.5,Comedy
4. Deadpool & Wolverine,2024,2h 8m,R,7.9,Comedy
5. Am I Racist?,2024,1h 40m,PG-13,7.3,Comedy
6. Red One,2024,2h 3m,PG-13,6.6,Comedy
7. Kinds of Kindness,2024,2h 44m,R,7.4,Comedy
8. Stree 2: Sarkate Ka Aatank,2024,2h 27m,N/A,7.5,Comedy
9. My Old Ass,2024,1h 29m,R,6.9,Comedy
10. The Fall Guy,2024,2h 6m,PG-13,6.8,Comedy
